,CANT,CVE_ART,DESCR
660,1,RP00201,REPARACION DE TERMINAL DE RESISTENCIA
661,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
662,12,TUA00436,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT"
663,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
664,1,RP00202,REPARACION DE P/SERIGRAFIA  1800W 110V
665,10,CS58P2120A01,"CAS INOX 5/8""ØX10"" 1200W 240V EXT1MT"
666,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX
667,1,TUA00444,"TUB INOX 7/16""ØX36CM 6000W 240V PLAC/CUE"
668,2,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ"
669,4,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
670,4,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
671,4,TP0006,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3.5 MT
672,1,RP00203,REPARACION HORNO 15KW 440V TOTAL
673,2,TUE00362,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°"
674,2,TEE00027,"TER J 1/4""ØX12"" CAB/MAR TERM-3/4""NPT"
675,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
676,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
677,1,TUA00438,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2"""
678,2,TUA00439,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ"
679,4,TUS00005,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V"""
680,3,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V"""
681,6,BO00061,BOB DSD CAL.12 17.7MMØX55CM  5.2 OHMS
682,1,TUE00363,"TUB INOX 7/16""ØX50CM 18KW220V ""J"" ESP/PL"
683,3,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ"
684,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
685,2,BO00064,BOB 8020 CAL.26 5MMØX70CM 30W 127V GAZA
686,10,BO00062,BOB 8020 5.5MMØX750MM 1500W115V GAZ40
687,12,CBS00098,CBS INOX 8MMØX265MM 500W 220V EXT.1MT
688,1,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
689,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
690,2,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz
691,1,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
692,1,TUA00446,"TUB INOX 5/16""ØX32CM 1250W 127V ""M"" BUSH"
693,2,CAS00068,"CAS INOX 3/4""ØX12"" 4000W 260V EXT12"" FV"
694,2,CAS00069,"CAS INOX 3/4""ØX24"" 2700W 220V EXT.12"" FV"
695,2,CAS00070,"CAS INOX 3/4""ØX85MM 500W 240V EXT.12"" FV"
696,2,CAS00071,"CAS INOX 3/4""ØX260CM 2000W260V EXT.12""FV"
697,5,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
698,5,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
699,1,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V"
700,4,PK51H1JBA600,"TER K 5/16""ØX10"" CON1/2""-1/2"" EXT10M C/M"
701,6,TEE00028,"TER K 3/16""ØX10CM 1/2""X22CM 1/2""NPT/MAR"
702,6,TUS00123,"TUB INOX 5/8""ØX83.5CM 1050W136V T/TORN"
703,2,CAS00081,"CAS INOX 3/8""ØX8 1/2"" 500W 110V EXT.40CM"
704,1,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT"""
705,2,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
706,2,BN00258,BAN A/COMUN 117MMØX100MM 1250W240V C/STD
707,6,TUA00447,"TUB INOX 3/8""ØX102CM 2000W400V ""M"" BUSH"
708,6,TUA00448,"TUB INOX 3/8""ØX107CM 2000W400V ""M"" BUSH"
709,1,TUE00362,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°"
710,1,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT
711,4,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
712,4,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
713,3,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
714,4,CM10G1030A00,CAM INOX 10MMØX10CM 300W 127V EXT.30CM
715,2,TUA00457,"TUB INOX 7/16""ØX335MM 1800W 440V ""M"" BUS"
716,15,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
717,2,BP00246,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO
718,2,BP00247,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR
719,2,BP00263,BAN P A/COMUN 185MMX245MM 1200W440V T/TO
720,1,TUA00413,"TUB INOX 3/8""ØX175MM 350W220V ""U"" BUSH"
721,2,TU5/16X203V240W,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1"""
722,30,EE00059,PRE-SEPARADOR CINTA 7.8 OHMSX 3MT LONG
723,4,BO00063,BOB 8020 CAL.17 19MMØX355MM LON 21KW240V
724,1,RB00021,FAB BOB 8020 CAL.17 7000W 240V M/BAST
725,1,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ"
726,6,TUA00453,"TUB INOX 5/8""ØX485MM 750W 254V RECTA/ALE"
727,4,CS14E1012A00,"CAS INOX 1/4""ØX2 1/2"" 125W 127V EXT30CM"
728,2,TEA00103,TEA K ELEMENTO 12CMX EXT.40CM CERAMICO
729,2,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP"
730,10,PT00057,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA"
731,3,CAE00011,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22"""
732,10,TT00009,"TER T 3/16""ØX47MM EXT 3MT CON/SOG/CLAV"
733,10,TT00010,"TER T 3/16""ØX82MM EXT 3MT CON/SOG/CLAV"
734,2,P9K1J1D1G030,AK 1MMØX15CM EXT1MT MALLA CLA/MACHO
735,1,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
736,1,P214J1BBA600,"PT-100 1/4""ØX15CM CON1/2""-1/2""NPT EXT30C"
737,2,BN00260,"BAN INOX 4""ØX4"" 500W230V T/TOR C/ALLEN"
738,2,BN00261,BAN INOX 41MMØX203MM 1000W220V C/STD
739,9,CS38C1008A00,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM"
740,6,TJ00029,"TER J 3/16""x6"" LONG EXT 1.5 MTS PLICA"
741,3,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V."
742,2,TUA00191,"TUB INOX. 7/16""Øx700mm U 10KW 440V U TAP"
743,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
744,1,BP00215,BAN P COMUN 45MMX390MM 1200W240V B/CERAM
745,1,RP00191,REPARACION TERMINALES BANDA 1500W 220V
746,100,BOBINA002,BOBINA DSD CAL.17 12mmØx410mm 4000W 254V
747,5,BOBINA003,BOBINA BASTIDOR 12mmØx410mm 12kW440V 3pz
748,4,TUS00016,"TUB INOX. 5/16""Øx625mm 1200W, 220V. U"
749,5,TUS00017,"TUB INOX 5/16""x625mm 950W 220V U"
750,6,TUS00018,"TUB INOX. 5/16 Øx625mm 850W,220V U"
751,2,PA00011,P.CUARZO 10CMX20CM 1600W440V EXT30CM TK
752,1,PA00012,P.CUARZO 10CMX50CM 4000W440V EXT30CM TK
753,1,TUA00458,"TUB INOX 1/4""ØX40CM 6000W230V ""U"" PLACA"
754,6,PT31B1G1AG00,"TER T 3/16""ØX11/2"" EXT.3MT PUNTA OJILLO"
755,4,PT00087,"PT-100 3/8""ØX35MM EXT.1.5MT CON-1/2""NPT"
756,1,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH"
757,1,TUA00461,"TUB INOX 7/16""ØX690MM 1000W 127V ""U"" BUS"
758,4,TUE00171,"TUB INOX 1/4""Øx297mm 1750W 220V ESP BUSH"
759,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
760,3,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
761,3,TUA00460,"TUB INOX 5/16""ØX325MM 1700W 240V ""M"" BUS"
762,1,TUE00004,"TUBU"" 5/16""Øx280mm 600W 127V C/PLACA"""
763,7,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz"""
764,1,TEA00004,"TEA K"" 18mmØx540mm CABEZA MARINA"""
765,2,BN00216,BAN INOX 130MMØX60MM 800W 220V/380V
766,2,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP"
767,1,BL00012,BAN M/LUNA INOX 205mmx143mm. 1200W 120V
768,1,PJ31F1F1A400,"TER J 3/16""ØX4"" EXT.2MT MALLA/RES/ZAP"
769,3,ECQ-00971,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz"
770,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
771,1,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH"
772,2,BL00057,BAN M/LUNA 100MMØX41MM 200W240V C/STD
773,2,BL00058,BAN M/LUNA 270MMX42MM 900W 240V C/STD
774,2,BP00265,BAN P COMUN 62MMX140MMX200M 900W240V ORI
775,2,BP00266,BAN P COMUN 62MMX140MMX200M 900W240V STD
776,1,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT
777,1,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
778,1,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT
779,1,BS00012,BP S/BLINDAJE 160MMX160MM 900W127V EXT3O
780,10,ABRAZA01,ABRAZADERA INOX PARA AJUSTE 2 pz c/u
781,20,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT"
782,15,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT"
783,1,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316"""
784,2,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316"""
785,6,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L"
786,1,EE00060,"FAB TERMOPOZO 6MMØX85MM CON 1/2""NPT"
787,4,PJ000NH1A400,"TER J OJILLO 1/4""Ø EXT 5MT MALLA/RES/ZAP"
788,1,P131B1I14000,"PT-100 3/16""ØX1 1/2"" EXT.7MT TEFLON 2HIL"
789,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
790,1,PJ000GH1A000,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP"
791,6,PJ000GJ1A000,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP"
792,1,PT00063,PT-100 6MMØX110MM CONECTOR EXT15MTS
793,2,BS00010,BS/BLINDAJE 168MMXLADO 700W127V F/OCTAGO
794,2,BN00263,BAN A/COMUN 345MMØX71MM 2000W 440V STD
795,3,BP00267,BAN P COMUN 30MMX114CM 1500W110V T/TORNI
796,5,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN"
797,8,TUA00318,"TUB INOX ALETA 5/16""ØX600MM U 2KW254V BU"
798,1,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH"
799,54,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT
800,27,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT
801,3,CAS00085,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT
802,3,CAS00086,CAS INOX 12.5MMØX85MM 150W 280V EXT.1MT
803,3,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
804,1,PT00088,"PT-100 1/4""ØX215MM EXT1.5MT CON7/16""FINO"
805,1,TUE00364,"TUB INOX 3/8""ØX210MM 1500W 240V CIRC/90°"
806,4,BP00070,BAN P INOX 80MMX250MM 400W 220V T/TOR
807,1,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
808,2,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT"
809,3,TJ00092,"TER J 1/8""ØX120MM EXT2MT MALLA/TRAN5/16"""
810,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
811,3,CBS00104,"CBS INOX 1/2""ØX8"" 350W 110V ESC EXT30CM"
812,4,PT00034,"PT-1000 1/4""ØX2"" EXT. 1MT DE PVC 2 HILOS"
813,5,AJ00010,"AEROPACK J 1/8""ØX88MM EXT3MT CON1/8""NPT"
814,4,TUE00367,"TUB INOX 5/6""ØX30CM 1800W220V ""J"" ESP/CO"
815,2,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA"
816,10,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS"
817,11,TUA00177,"TUB INOX 5/16""x2580mm M 1800W 220V BUSHI"
818,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
819,1,RP00205,REAPARACION PLANCHA SERIGRAFIA 1.8KW120V
820,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
821,2,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
822,1,TU5/16X215V240W,"TUB INOX 5/16""ØX215MM 1500W 240V U 1""NPT"
823,1,TUE00105,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C"
824,4,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V
825,4,70001696,CARTUCHO Ø 8MM X 520 MM 500 W 220 V
826,4,CBE00041,CBE INOX 10MMØX460MM 300W 48V EXT30CM
827,4,CBS00056,CART INOX 11.43mmØx450mm 300W 48V CABLE
828,1,RP00206,REPARACION CARTUCHO 27MMØX2150MM 2KW440V
829,2,RP00207,REPARACION CARTUCHO 27MMØX1800MM 2KW440V
830,1,RP00208,REPARACION CARTUCHO 27MMØX1697MM 2KW440V
831,1,TUE00061,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ"
832,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX
833,3,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA"
834,1,PT00033,PT-100 4mmx100mm EXT 2 MTS DOBLEZ A 45°
835,2,CS38K2025A2D,"CAS INOX 3/8""ØX5 1/2"" 250W240V EX1.5M PL"
836,2,TUE00366,"TUB INOX 5/16""ØX205MM 1500W240V ESPIR/BU"
837,4,PA00008,P.CUARZO 98MMX340MM 1600W110V EXT11CM TK
838,4,PA00009,P.CUARZO 98MMX340MM 1600W110V EXT. 11CM
839,5,PA00005,P.CUARZO 10CMX25.5CM 1000W240V EX40CM TK
840,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
841,21,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U"
842,1,TUE00172,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6"""
843,4,TUE00247,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V"
844,1,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM"
845,1,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC"
846,1,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM"
847,1,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC"
848,6,PJ31A1I1A400,"TER J 3/16""ØX1"" EXT7MT MALLA Z/INOX"
849,2,BB2X2ST,"BOQUILLA 2X2""  350W 240V"""
850,2,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ"
