,CANT,CVE_ART,DESCR
1174,5,RPISTOLA01,PISTOLA DE AIRE 3500W 220V
1175,6,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1176,1,TEA00107,"TEA 1/4""ØX11.5MM EXT.5MT C-1/2""NPT RESOR"
1177,2,TEA00107,"TEA 1/4""ØX11.5MM EXT.5MT C-1/2""NPT RESOR"
1178,1,BN00269,BAN INOX 225MMØX39MM 400W 127V EXT30CM
1179,1,TP0015,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8"""
1180,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
1181,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1182,2,TUA00063,"TUB INOX 7/16""x105CMS 1500W 220V BUSHING"
1183,1,BO00067,BOB DSD CAL.15 9.5MMØX2MT 1680W127V GAZA
1184,8,CS12C1025A00,"CAS INOX 1/2""ØX1 1/2"" 250W 127V EXT.30CM"
1185,5,MR8-250-11-13,CAS 12MMØX312MM 300W110V ESCUAD EXT102CM
1186,2,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ"
1187,3,CS12G1040A00,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM"
1188,12,CBE00012,"CARTUCHO 3/8"" X 8"" 250W, 240V. TUBO PLIC"
1189,6,CBE00040,"CBE INOX 3/8""ØX8"" 250W 240V EXT42"" 37""PL"
1190,10,TUA00049,"TUB INOX 5/16Øx1790mm 1300W 220V BUSHIG"""
1191,1,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM"
1192,1,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC"
1193,1,BP00274,BAN P INOX 168MMX88MM 300W 240V EXT50CM
1194,1,BP00275,BAN P INOX 115MMX93MM 300W 240V EXT50CM
1195,1,BP00276,BAN P INOX 178MMX110MMX150MM 500W240V
1196,3,BC00010,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ"
1197,1,TEA00108,"TEA K 3/16""ØX3/4"" EXT1.5MT CON-1/8"" NPT"
1198,2,TUA00480,"TUB INOX 5/16""ØX114CM 1500W 220V U 1NPT"
1199,1,TUA00479,"TUB INOX 1/2""ØX85CM 22KW 440V CLIP/PLAC"
1200,1,TEA00110,"TEA J 3/16""ØX40CM EXT3MT C/TORNILLO 1/4"""
1201,1,TUE00258,"TUB INOX 5/16""ØX43CM1850W240V ""M ESP/TOR"
1202,1,TUE00258,"TUB INOX 5/16""ØX43CM1850W240V ""M ESP/TOR"
1203,8,BC00030,BC INOX 137MMØX100MM 1800W 240V BLOCK
1204,4,BP00277,BAN P INOX 45MMX200MM 350W 240V EXT30CM
1205,4,BP00278,BAN P INOX 70MMX122MM 350W 240V EXT30CM
1206,2,BN00270,"BAN INOX 2""ØX7"" 750W 127V EXT.30CM CANTO"
1207,4,BB2X2ST,"BOQUILLA 2X2""  350W 240V"""
1208,2,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
1209,2,CS14K2040A00,"CAS INOX 1/4""ØX5 1/2"" 400W 240V EXT30CM"
1210,2,CS14L2040A00,"CAS INOX 1/4""ØX6"" 400W 240V EXT30CM"
1211,2,TP0006,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3.5 MT
1212,6,CAS00087,"CAS INOX 1/2""ØX4"" 600W 240V EXT3M 30CMSI"
1213,1,CAS00088,"CAS INOX 1/2""ØX4"" 600W240V EXT3M PLI30CM"
1214,1,TEA00109,"TEA J 1/4""ØX8"" EXT1.5MT C/TORNILLO-3/8""Ø"
1215,1,BL00061,BAN M/LUNA 280MMØX260MM 3000W 440V CLAV
1216,2,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1217,4,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT
1218,4,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT
1219,2,PJ31C1C1B000,"TER J 3/16""ØX2"" EXT50CM ZAP/PIN"
1220,20,EE00071,FAB RESISTENCIA DSD CAL.12 X40CMX10CM
1221,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1222,1,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ"
1223,1,RP00227,REP. DE ELEMENTO TK CAL.20X36.5XCM
1224,1,TUA00481,"TUB INOX 7/16""ØX40CM 1000W 127V ""M"" BUSH"
1225,1,TUA00481,"TUB INOX 7/16""ØX40CM 1000W 127V ""M"" BUSH"
1226,4,EE00063,FABRICACIÓN ESPECIAL 1300W 115V
1227,1,TUS00048,"TUB INOX. 5/16""Øx320mm 750W, 120V. U"
1228,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1229,2,TUS00113,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP"
1230,1,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1231,2,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1232,1,PJ18D2E1A410,"TER J 1/8""ØX2 1/2"" EXT1.5MT TRAN/RESOR"
1233,6,TUA00482,"TUB INOX 7/16""ØX50CM 2500W 240V ""U"" BUSH"
1234,4,CM10I2040A00,CAM INOX 10MMØX16CM 400W240V RECT EX30CM
1235,1,P25601AB0600,"PT-100 5/16""ØX1MT CON1/2""-1/2""NPT C/MARI"
1236,15,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1237,3,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1238,1,EE00075,"FAB. TUBO INOX 1/2""Ø C40 X 1.7M C/ALETAS"
1239,1,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1240,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
1241,6,CS12N1050A00,"CAS INOX 1/2""ØX8"" 500W 127V EXT30CM"
1242,2,CS58O2050A00,"CAS INOX 5/8""ØX9"" 500W 240V EXT30CM"
1243,1,RP00225,REPARACION DE TANQUE DE BAÑO MARIA 127V
1244,4,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1245,10,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT
1246,7,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT
1247,25,CAS00085,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT
1248,1,CAS00086,CAS INOX 12.5MMØX85MM 150W 280V EXT.1MT
1249,4,TUS00016,"TUB INOX. 5/16""Øx625mm 1200W, 220V. U"
1250,4,TUS00017,"TUB INOX 5/16""x625mm 950W 220V U"
1251,6,TUS00018,"TUB INOX. 5/16 Øx625mm 850W,220V U"
1252,2,BO00066,BOB 8020 CAL.22 2.8MMØX3MT GAZA 50MM 127
1253,1,RP00192,REPARACION DE HORNO LINDBERG/BLUE M
1254,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1255,2,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1256,2,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA"
1257,4,TUA00484,"TUB INOX 1/2""ØX850MM 6000W 240V ALET/PLA"
1258,1,TUE00384,"TUB INOX 1/4""ØX65MM 180W 127V CIRCU/BASE"
1259,2,TUA00483,"TUB INOX 7/16""ØX36CM 2000W 240V ""M"" BUSH"
1260,3,EE00077,FAB. DE BASTIDOR 8020 2700W 240V 28X24X5
1261,11,CBS00001,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55"""
1262,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
1263,1,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
1264,1,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM"
1265,1,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC"
1266,1,PJ14R1B40A00,"TER J 1/4""ØX3 1/2"" CON-1/2""-1/2"" EXT30CM"
1267,4,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V"
1268,2,ECQ-00971,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz"
1269,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
1270,1,P231E1AB0600,"PT-100 3/16""ØX3"" CON 1/2""-1/2"" NPT C/MAR"
1271,1,P231J1AB0600,"PT-100 3/16""ØX15CM CON1/2""-1/2"" C/MAR"
1272,12,CBS00092,CBS INOX 20MMØX68CM 1200W 254V EXT.25CM
1273,3,BL00062,BAN M/LUNA 220MMØX155MM 1500W 440V C/STD
1274,5,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1275,3,TUE00387,"TUB INOX 5/16""ØX27CM 1000W 240V ESPECIAL"
1276,2,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1277,2,TUA00325,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6"""
1278,1,TUA00486,"TUB INOX 1/2""ØX365MM 1650W127V ""M"" A 90°"
1279,6,RPISTOLA01,PISTOLA DE AIRE 3500W 220V
1280,2,BP00279,BAN P 38MMX105CM 1000W 240V T/TOR C/TK
1281,5,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V"""
1282,5,TUA00436,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT"
1283,1,TUS00128,"TUB INOX 1/4""ØX260CM 500W 240V RECTA TOR"
1284,1,TUS00129,"TUB INOX 1/4""ØX235CM 500W 240V RECTA TOR"
1285,1,TUS00130,"TUB INOX 1/4""ØX225CM 500W 240V RECTA TOR"
1286,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
1287,1,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT"""
1288,1,EE00022,PLACAS DE FIBRA CERAMICA BARRENADAS
1289,2,TK00028,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE"
1290,2,RP00223,REPARACION DE BOBINA 1800W 240V
1291,6,TUE00388,"TUB INOX 7/16""ØX34CM 3200W 220V ""M"" BUSH"
1292,6,BO00061,BOB DSD CAL.12 17.7MMØX55CM  5.2 OHMS
1293,3,TUE00122,"TUB INOX 5/16""Øx132MM 1000W 230V ESP/CAB"
1294,1,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
1295,10,CAS00089,"CAS 1/2""ØX17"" 1800W 480V EXT.15CM"
1296,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V
1297,1,TUE00389,"TUB INOX 1/4""ØX28CM 15KW 240V CLIP BUS/P"
1298,1,TJ00037,"TER J 3/16""Øx1 1/2"" EXT 15 MTS."
1299,2,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT
1300,1,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
1301,1,TUA00485,"TUB INOX 7/16""ØX44.5CM 3000W127V ""U"" BUS"
1302,3,TUA00098,"TUB INOX.5/16""Øx473mm U 2500W 220V TAPO"
1303,3,TUA00468,"TUB INOX 7/16""ØX595MM 5000W 220V ""U"" BUS"
1304,2,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
1305,2,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
1306,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1307,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1308,5,TJ00095,"TER J 3/16""ØX223MM EXT1MT DOBLEZ A  90°"
1309,5,TJ00096,"TER J 3/16""ØX120MM EXT1MT DOBLEZ A  90°"
1310,10,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1311,2,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1312,8,CBS00019,"CBS 5/16""ØX21.1/4"" LON 500W,230V EXT1.5M"
1313,1,TUA00191,"TUB INOX. 7/16""Øx700mm U 10KW 440V U TAP"
1314,2,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT
1315,2,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1316,2,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT
1317,4,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT
1318,4,TUE00391,"TUB INOX 5/16""ØX2 1/2""Ø 350W 260V EXT 1M"
1319,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
1320,5,TEE00012,"TE ""K"" TIPO LANZA 1/2""Ø X 1331MMC/PLICA"
1321,1,BN00271,BAN INOX 87MMØX35MM 500W 240V C/ALLEN
1322,1,RP00228,REAPARCION DE SELLADORA
1323,1,TUA00487,"TUB INOX 5/16""ØX295MM 12KW 240V CLIP/PLA"
1324,2,TUE00390,"TUB INOX 5/16""ØX130MMØ 400W127V CIRCULAR"
1325,8,P114Q1H90412,"PT-100 1/4""ØX1/2"" EXT.5MT BOY-2G 3 HILOS"
1326,4,P251L1J1B000,"PT-100 5/16""ØX45CM EXT 10MT MALLA/RESO"
1327,20,CBS00001,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55"""
1328,6,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA
1329,6,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA
1330,10,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1331,2,BB00103,BB INOX 34MMØX40MM 100W 127V STD C/TJ
1332,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
1333,1,TUE00195,"TUB INOX. 5/16"" Øx2085mm ESP 1900W 230V"
1334,1,CBS00106,CBS INOX 14MMØX89CM 2000W240V EXT30CM
1335,1,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
1336,1,CAE00046,CAM INOX 16MMØX165MM 1000W 240V EXT30CM
1337,1,CM16I2090A00,CAM INOX 16MMØX160MM 900W 240V EXT.30CM
1338,6,TUA00258,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT"
1339,6,BO00061,BOB DSD CAL.12 17.7MMØX55CM  5.2 OHMS
1340,1,TUE00142,"TUB INOX1/4""Øx230mm U 4050W 220V PLAQUIT"
1341,2,TUA00490,"TUB INOX 7/16""ØX50CM 4500W440V ""U"" 2""NPT"
1342,9,TUA00491,"TUB INOX 7/16""ØX63CM 2250W 440V ALETA/BU"
1343,1,BN00272,"BAN INOX 7""ØX3"" 2200W 220V CLAV/ALLEN"
1344,1,BB00102,BB INOX 38MMØX76MM 300W 120V C/TJ
1345,8,CAS00044,"CART INOX 1/2"" Øx4"" 500W 120V CABLE 25CM"
1346,4,CAE00045,"CAS INOX 1/2""ØX41/2"" 500W127V ESCUADRA"
1347,8,CS12C1025A00,"CAS INOX 1/2""ØX1 1/2"" 250W 127V EXT.30CM"
1348,1,TUE00166,"TUB INOX 5/16""Øx695mm ESP 650W 120V"
1349,10,ABRAZA01,ABRAZADERA INOX PARA AJUSTE 2 pz c/u
1350,6,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L"
1351,9,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L"
1352,1,47980626,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V"
1353,3,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1354,6,TEA00095,"TEA J 1/4""ØX70CM EXT50CM TORM8/LOCO CLAV"
1355,1,RP00229,REPARACION DE HORNO 1500W 127V
1356,1,TUE00142,"TUB INOX1/4""Øx230mm U 4050W 220V PLAQUIT"
1357,1,CAE00047,"CAS INOX 1/2""ØX13CM 250W 220V CON-1/2"""
1358,1,TUE00392,"TUB INOX 5/16""ØX172MM 1650W120V CIRCULAR"
1359,2,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1360,1,BO00005,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V
1361,25,CBS00092,CBS INOX 20MMØX68CM 1200W 254V EXT.25CM
1362,10,ABRAZA01,ABRAZADERA INOX PARA AJUSTE 2 pz c/u
1363,4,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1364,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1365,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
1366,10,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT"
1367,3,TUS00131,"TUB INOX 7/16""ØX280CM 2000W 240V RECTA"
1368,10,TEA00111,"TEA K 5/8""ØX30CMX51CM C/MARINA 90° ""L"""
1369,4,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP"
1370,2,TUA00401,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH"
1371,2,TUE00206,"TUB INOX 5/16""Øx930mm 1000W 127V CAPUCHO"
1372,1,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1373,3,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1374,1,TUA00489,"TUB INOX 7/16""ØX42CM 6000W 240V ""U"" PLAC"
1375,1,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
1376,4,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ"
1377,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
1378,3,TUA00488,"TUB INOX 3/8""ØX400MM 1800W230V ""M"" ALE/B"
1379,6,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
1380,4,TP0004,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT
1381,4,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1382,1,CBS00107,"CBS 5/8""ØX330MM 1000W 240V CON1/2"" NPT"
1383,1,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC"
1384,2,TUE00393,"TUB INOX 1/4""ØX178MM 750W 110V ESP/CABLE"
1385,4,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1386,6,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz"""
1387,5,EE00077,FAB. DE BASTIDOR 8020 2700W 240V 28X24X5
1388,2,ECQ-00971,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz"
1389,1,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz
1390,5,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz"""
1391,12,BO00061,BOB DSD CAL.12 17.7MMØX55CM  5.2 OHMS
1392,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1393,1,TUA00494,"TUB INOX 7/16""ØX105CM 24KW 480V 3PZ"
1394,6,TUA00433,"TUB INOX 1/2""ØX1015MM 5KW 240V ""U"" ALETA"
1395,2,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V"""
1396,3,PT00091,"PT-100 3/8""ØX3CM EXT30CM TEFLON 3HILOS"
1397,26,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT
1398,10,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT
1399,5,PJ31A1I1A000,"TER J 3/16""ØX1"" EXT7MT MALLA Z/INOX"
1400,5,PJ31A1I1A400,"TER J 3/16""ØX1"" EXT7MT MALLA Z/INOX"
1401,10,CS58R2200A01,"CAS 5/8""ØX14"" 240V 2000W EXT1MT"
1402,1,TUA00493,"TUB INOX 5/16""ØX250MM 2000W 240V ""M"" BUS"
1403,16,CBS00109,"CBS INOX 5/8""ØX66CM 800W 480V EXT30CM"
1404,2,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz
1405,10,70001698,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V
1406,4,CAS00035,"CAR INOX 3/8""Øx8"" 900W, 240V CABLE 30CMS"
1407,1,RP00230,REPARACION DE PLANCHA DE CARTUCHOS 220V
1408,1,RP00231,REPARACION DE MAQUINA
1409,6,TUA00492,"TUB INOX 1/2""ØX40CM 4000W 220V ""M"" BUSH"
1410,2,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
1411,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
1412,1,TUA00325,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6"""
1413,5,RB00007,FAB  BOBINA DSD1 6 COLOCAR B/NUEVA 488V
1414,3,TP00018,"TIRA INOX 38MMX6"" 150W 127V T/TIPO H"
1415,6,BP00006,BAN P INOX 1800x25mm 2800W 440V. CABLE
1416,3,PJ31Q1G1A400,"TER J 3/16""ØX1/2"" EXT3MT MALLA INOX  Z/E"
1417,2,BL00002,BL INOX 60mmØx50mm 400W 120/240V EXT30CM
1418,2,BN00145,BAN INOX 146MMØX40MM 500W230V CINT/ALLEN
1419,2,BN00146,"BAN INOX 9""ØX3"" ANCH 1700W 230V T/CABLE"
1420,2,PT00079,PT-100 7.5MMØX95MM EXT.48CM 3H C/MACHO
1421,6,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM"
1422,6,CS12H1050A00,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM"
1423,3,TUE00394,"TUB INOX 5/16""ØX300MM 5300W 220V ""M"" ESP"
1424,1,TUA00470,"TUB INOX 1/2""ØX500MM 10KW 220V 2 1/2""NPT"
1425,10,RB00007,FAB  BOBINA DSD1 6 COLOCAR B/NUEVA 488V
